LMED,FMR,IPOV,BEDRMS,BUILT,STATUS,TYPE,VALUE,VACANCY,TENURE,NUNITS,ROOMS,WEIGHT,PER,ZINC2,ZADEQ,ZSMHC,STRUCTURETYPE,OWNRENT,TOTSAL,ASSISTED,GLMED,GL30,GL50,GL80,APLMED,ABL30,ABL50,ABL80,ABLMED,BURDEN,INCRELAMIPCT,INCRELAMICAT,INCRELPOVPCT,INCRELPOVCAT,INCRELFMRPCT,INCRELFMRCAT,COSTMedRELAMIPCT,COSTMedRELAMICAT,COSTMedRELPOVPCT,COSTMedRELPOVCAT,COSTMedRELFMRPCT,COSTMedRELFMRCAT,FMTZADEQ,FMTMETRO3,FMTBUILT,FMTSTRUCTURETYPE,FMTBEDRMS,FMTOWNRENT,FMTCOSTMEDRELPOVCAT,FMTINCRELPOVCAT,FMTCOSTMEDRELFMRCAT,FMTINCRELFMRCAT,FMTCOSTMEDRELAMICAT,FMTINCRELAMICAT,FMTASSISTED,FMTBURDEN,FMTREGION,FMTSTATUS
50723,542,-6,1,1985,'3',1,-6,1,'-6',16,3,776.9058308,-6,-6,'-6',-6,3,'2',-9,-9,50723,11092,18470,29536,-9,11884.28571,19789.28571,31645.71429,38042.25,-9,-9,-9,-9,-9,-9,-9,12.85412929,1,-9,-9,22.55535055,1,'-5','-5','1980-1989','3 5-19 units','1 1BR','2 Renter','.','.','1 LTE 50% FMR','.','1 LTE 30% AMI','.','.','.','-5','-5'
77954,1343,23428,3,2004,'1',1,-6,-6,'2',1,6,1760.603333,4,102961,'1',2013,1,'2',103000,0,77954,23447,39080,57652,77954,24384.88,40643.2,59958.08,81072.16,0.234613106,132.0791749,7,439.4784019,4,191.6623232,3,99.31892773,5,343.6913095,4,149.8883098,3,'1 Adequate','-5','2000-2009','1 Single Family','3 3BR','2 Renter','4 200%+ Poverty','4 200%+ Poverty','3 GT FMR','3 GT FMR','5 80 - 100% AMI','7 120% AMI +','0 Not Assisted','1 Less than 30%','-5','-5'
73559,1251,15470,3,1980,'1',1,340000,-6,'1',1,10,2297.552028,2,174974,'1',2444,1,'1',175000,-9,73559,17757,29565,43499,58847.2,23084.1,38434.5,56548.7,76501.36,0.167613474,297.3361519,7,1131.053652,4,349.6682654,3,123.4726833,7,610.5900577,4,188.7655514,3,'1 Adequate','-5','1980-1989','1 Single Family','3 3BR','1 Owner','4 200%+ Poverty','4 200%+ Poverty','3 GT FMR','3 GT FMR','7 120% AMI +','7 120% AMI +','.','1 Less than 30%','-5','-5'
77954,1573,23863,4,2004,'1',1,180000,-6,'1',1,9,624.3728719,4,164361,'1',2649,1,'1',158400,-9,77954,23447,39080,57652,77954,27198.52,45332.8,66876.32,90426.64,0.193403545,210.8435744,7,688.7692243,4,261.2221869,3,61.95431797,4,234.7701801,4,89.03879224,2,'1 Adequate','-5','2000-2009','1 Single Family','4 4BR+','1 Owner','4 200%+ Poverty','4 200%+ Poverty','2 50.1 - 100% FMR','3 GT FMR','4 60 - 80% AMI','7 120% AMI +','.','1 Less than 30%','-5','-5'
107300,1191,-6,1,1980,'3',1,-6,1,'-6',16,4,136.38834,-6,-6,'-6',-6,3,'2',-9,-9,107300,22550,37600,46750,-9,24160.71429,40285.71429,50089.28571,80475,-9,-9,-9,-9,-9,-9,-9,67.39981361,5,-9,-9,113.8539043,3,'-5','-5','1980-1989','3 5-19 units','1 1BR','2 Renter','.','.','3 GT FMR','.','5 80 - 100% AMI','.','.','.','-5','-5'
73559,1467,23863,4,1980,'1',1,170000,-6,'1',1,8,2707.787386,4,129948,'1',1324,1,'1',130000,-9,73559,22162,36930,54352,73559,25707.92,42838.8,63048.32,85328.44,0.12226429,176.6581927,7,544.5585216,4,221.4519427,3,64.22533249,4,229.6545878,4,93.39208298,2,'1 Adequate','-5','1980-1989','1 Single Family','4 4BR+','1 Owner','4 200%+ Poverty','4 200%+ Poverty','2 50.1 - 100% FMR','3 GT FMR','4 60 - 80% AMI','7 120% AMI +','.','1 Less than 30%','-5','-5'
63068,1057,12019,2,2004,'1',1,230000,-6,'1',1,4,3332.770657,1,129987,'1',2056,1,'1',130000,-9,63068,13561,22564,36109,44147.6,17435.57143,29010.85714,46425.85714,56761.2,0.189803596,294.4372967,7,1081.512605,4,307.4432356,3,133.3250125,7,629.6437057,4,178.9897753,3,'1 Adequate','-5','2000-2009','1 Single Family','2 2BR','1 Owner','4 200%+ Poverty','4 200%+ Poverty','3 GT FMR','3 GT FMR','7 120% AMI +','7 120% AMI +','.','1 Less than 30%','West','-5'
63068,844,-6,1,2004,'3',1,-6,1,'-6',70,3,1379.432766,-6,-6,'-6',-6,5,'2',-9,-9,63068,13561,22564,36109,-9,14529.64286,24175.71429,38688.21429,47301,-9,-9,-9,-9,-9,-9,-9,61.56318048,4,-9,-9,86.25592417,2,'-5','-5','2000-2009','5 50+ units','1 1BR','2 Renter','.','.','2 50.1 - 100% FMR','.','4 60 - 80% AMI','.','.','.','West','-5'
63068,1530,15470,3,2005,'1',1,-6,-6,'2',1,6,2096.704897,2,39974,'1',1393,1,'2',40000,0,63068,15495,25795,41259,50454.4,20143.5,33533.5,53636.7,65590.72,0.418171812,79.22797615,4,258.3968972,4,65.31699346,2,84.95104186,5,360.1809955,4,91.04575163,2,'1 Adequate','-5','2000-2009','1 Single Family','3 3BR','2 Renter','4 200%+ Poverty','4 200%+ Poverty','2 50.1 - 100% FMR','2 50.1 - 100% FMR','5 80 - 100% AMI','4 60 - 80% AMI','0 Not Assisted','2 30% to 50%','West','-5'
63068,1760,23543,5,2005,'1',1,120000,-6,'1',1,9,5169.031605,4,34974,'1',563,1,'1',35000,-9,63068,19332,32222,51554,63068,24744.96,41244.16,65989.12,80727.04,0.193172071,55.45443014,3,148.5537102,2,49.67897727,1,54.3504036,3,186.3631315,3,62.32311371,2,'1 Adequate','-5','2000-2009','1 Single Family','4 4BR+','1 Owner','3 150-200% Poverty','2 100-150% Poverty','2 50.1 - 100% FMR','1 LTE 50% FMR','3 50 - 60% AMI','3 50 - 60% AMI','.','1 Less than 30%','West','-5'
63068,1989,18622,6,2005,'1',1,240000,-6,'1',1,9,2191.27199,3,34974,'1',1922,1,'1',35000,-9,63068,17428,29025,46424,56761.2,27110.22222,45150,72215.11111,88295.2,0.659461314,61.61603349,4,187.8101171,3,43.95927602,1,97.74515199,5,463.453321,4,108.4769701,3,'1 Adequate','-5','2000-2009','1 Single Family','4 4BR+','1 Owner','4 200%+ Poverty','3 150-200% Poverty','3 GT FMR','1 LTE 50% FMR','5 80 - 100% AMI','4 60 - 80% AMI','.','3 50% or More','West','-5'
63068,1530,18675,3,2005,'1',1,-6,-6,'2',1,7,2441.512248,3,60474,'1',1510,1,'2',60500,0,63068,17428,29025,46424,56761.2,20139.02222,33540,53645.51111,65590.72,0.2996329,106.5410879,6,323.8232932,4,98.81372549,2,92.08619756,5,323.4270415,4,98.69281046,2,'1 Adequate','-5','2000-2009','1 Single Family','3 3BR','2 Renter','4 200%+ Poverty','4 200%+ Poverty','2 50.1 - 100% FMR','2 50.1 - 100% FMR','5 80 - 100% AMI','6 100 - 120% AMI','0 Not Assisted','1 Less than 30%','West','-5'
63068,1530,12036,3,2005,'1',1,-6,-6,'2',1,6,1762.746015,1,74987,'1',1186,1,'2',75000,0,63068,13561,22564,36109,44147.6,20147.77143,33523.65714,53647.65714,65590.72,0.189792897,169.855213,7,623.0225989,4,122.5277778,3,72.32730484,4,394.1508807,4,77.51633987,2,'1 Adequate','-5','2000-2009','1 Single Family','3 3BR','2 Renter','4 200%+ Poverty','4 200%+ Poverty','2 50.1 - 100% FMR','3 GT FMR','4 60 - 80% AMI','7 120% AMI +','0 Not Assisted','1 Less than 30%','West','-5'
63068,1760,28735,5,2004,'1',1,-6,-6,'2',1,8,2038.282198,5,122348,'1',2035,1,'2',121000,0,63068,20911,34812,55694,68113.44,24783.40741,41258.66667,66007.7037,80727.04,0.199594599,179.6238745,7,425.7804072,4,173.7897727,3,100.833624,6,283.2782321,4,115.625,3,'1 Adequate','-5','2000-2009','1 Single Family','4 4BR+','2 Renter','4 200%+ Poverty','4 200%+ Poverty','3 GT FMR','3 GT FMR','6 100 - 120% AMI','7 120% AMI +','0 Not Assisted','1 Less than 30%','West','-5'
63100,1064,-6,2,1985,'3',1,-6,1,'-6',16,4,1606.42976,-6,-6,'-6',-6,3,'2',-9,-9,63100,13600,22650,36250,-9,17485.71429,29121.42857,46607.14286,56790,-9,-9,-9,-9,-9,-9,-9,64.02535658,4,-9,-9,85.43233083,2,'-5','Central City','1980-1989','3 5-19 units','2 2BR','2 Renter','.','.','2 50.1 - 100% FMR','.','4 60 - 80% AMI','.','.','.','West','-5'
54100,843,11096,3,1980,'1',1,150000,-6,'1',1,6,2498.455184,1,18783,'1',338,1,'1',0,-9,54100,11800,19600,31400,37870,17531.42857,29120,46651.42857,56264,0.215939946,49.59862688,2,169.277217,3,55.70284698,2,75.33711325,4,382.0085923,4,125.704844,3,'1 Adequate','Central City','1980-1989','1 Single Family','3 3BR','1 Owner','4 200%+ Poverty','3 150-200% Poverty','3 GT FMR','2 50.1 - 100% FMR','4 60 - 80% AMI','2 30 - 50% AMI','.','1 Less than 30%','-5','-5'
63429,566,11114,1,1985,'1',1,-6,-6,'2',8,3,2592.900752,1,11400,'1',581,3,'2',0,0,63429,13400,22332,35706,44400.3,14357.14286,23927.14286,38256.42857,47571.75,0.611578947,25.67550219,1,102.5733309,2,50.35335689,2,48.85252277,2,209.1056325,4,102.6501767,3,'1 Adequate','Central City','1980-1989','3 5-19 units','1 1BR','2 Renter','4 200%+ Poverty','2 100-150% Poverty','3 GT FMR','2 50.1 - 100% FMR','2 30 - 50% AMI','1 LTE 30% AMI','0 Not Assisted','3 50% or More','-5','-5'
61292,1094,-6,5,2005,'3',1,570000,3,'-6',1,11,1315.608337,-6,-6,'-6',-6,1,'1',-9,-9,61292,12974,21611,34552,-9,23723.88571,39517.25714,63180.8,78453.76,-9,-9,-9,-9,-9,-9,-9,177.7758333,7,-9,-9,318.7198939,3,'-5','-5','2000-2009','1 Single Family','4 4BR+','1 Owner','.','.','3 GT FMR','.','7 120% AMI +','.','.','.','-5','-5'
50723,683,15452,2,2003,'1',1,130000,-6,'1',1,5,3231.79951,2,158974,'1',1776,1,'1',159000,-9,50723,12670,21096,33752,40578.4,14253.75,23733,37971,45650.7,0.134059658,391.7700057,7,1028.824748,4,581.8960469,3,88.02246734,5,260.0496538,4,147.0822566,3,'1 Adequate','-5','2000-2009','1 Single Family','2 2BR','1 Owner','4 200%+ Poverty','4 200%+ Poverty','3 GT FMR','3 GT FMR','5 80 - 100% AMI','7 120% AMI +','.','1 Less than 30%','-5','-5'
50723,907,15452,3,2004,'1',1,-6,-6,'2',1,7,2528.994966,2,64987,'1',924,1,'2',56000,0,50723,12670,21096,33752,40578.4,16471,27424.8,43877.6,52751.92,0.170618739,160.1517063,7,420.5733886,4,179.1262404,3,70.06380052,4,239.1923376,4,101.8743109,3,'1 Adequate','-5','2000-2009','1 Single Family','3 3BR','2 Renter','4 200%+ Poverty','4 200%+ Poverty','3 GT FMR','3 GT FMR','4 60 - 80% AMI','7 120% AMI +','0 Not Assisted','1 Less than 30%','-5','-5'
50723,907,11096,3,2005,'1',1,180000,-6,'1',1,6,1965.469855,1,53000,'1',1260,1,'1',0,-9,50723,11092,18470,29536,35506.1,16479.54286,27441.14286,43882.05714,52751.92,0.285283019,149.2701254,7,477.6496035,4,146.0859978,3,104.8743024,6,498.5869509,4,152.4895482,3,'1 Adequate','-5','2000-2009','1 Single Family','3 3BR','1 Owner','4 200%+ Poverty','4 200%+ Poverty','3 GT FMR','3 GT FMR','6 100 - 120% AMI','7 120% AMI +','.','1 Less than 30%','-5','-5'
50723,907,-6,3,2006,'3',1,-6,1,'-6',30,5,885.4708853,-6,-6,'-6',-6,4,'2',-9,-9,50723,11092,18470,29536,-9,16479.54286,27441.14286,43882.05714,52751.92,-9,-9,-9,-9,-9,-9,-9,59.94726511,3,-9,-9,87.16464535,2,'-5','-5','2000-2009','4 20-49 units','3 3BR','2 Renter','.','.','2 50.1 - 100% FMR','.','3 50 - 60% AMI','.','.','.','-5','-5'
50723,683,13948,2,2007,'1',1,140000,-6,'1',20,4,2230.44373,2,55000,'1',882,4,'1',20000,-9,50723,12670,21096,33752,40578.4,14253.75,23733,37971,45650.7,0.192436364,135.5400903,7,394.3217666,4,201.317716,3,101.8829349,6,333.4547817,4,170.2425803,3,'1 Adequate','-5','2000-2009','4 20-49 units','2 2BR','1 Owner','4 200%+ Poverty','4 200%+ Poverty','3 GT FMR','3 GT FMR','6 100 - 120% AMI','7 120% AMI +','.','1 Less than 30%','-5','-5'
50723,907,13984,3,2006,'1',1,-6,-6,'2',1,6,2122.470112,2,5183,'1',1232,1,'2',0,0,50723,12670,21096,33752,40578.4,16471,27424.8,43877.6,52751.92,2.852402084,12.77280524,1,37.06378719,1,14.28610805,1,93.4184007,5,352.402746,4,135.8324146,3,'1 Adequate','-5','2000-2009','1 Single Family','3 3BR','2 Renter','4 200%+ Poverty','1 LTE Poverty','3 GT FMR','1 LTE 50% FMR','5 80 - 100% AMI','1 LTE 30% AMI','0 Not Assisted','3 50% or More','-5','-5'
73559,1251,12005,3,1985,'1',1,200000,-6,'1',1,5,2721.825622,1,45987,'1',692,1,'1',46000,-9,73559,15535,25878,38070,51491.3,23080.57143,38447.31429,56561.14286,76501.36,0.180572771,89.31023299,5,383.0653894,4,91.90047962,2,69.81314969,4,444.8813742,4,106.7306334,3,'1 Adequate','-5','1980-1989','1 Single Family','3 3BR','1 Owner','4 200%+ Poverty','4 200%+ Poverty','3 GT FMR','2 50.1 - 100% FMR','4 60 - 80% AMI','5 80 - 100% AMI','.','1 Less than 30%','-5','-5'
74316,1497,31889,5,2004,'1',1,380000,-6,'1',1,13,3492.757402,6,78134,'1',2651,1,'1',77200,-9,74316,26002,43322,68984,86206.56,28691.86207,47803.58621,76120.27586,95124.48,0.407146697,90.63579384,5,245.0186585,4,130.4843019,3,118.9261521,6,354.7551937,4,188.9243215,3,'1 Adequate','-5','2000-2009','1 Single Family','4 4BR+','1 Owner','4 200%+ Poverty','4 200%+ Poverty','3 GT FMR','3 GT FMR','6 100 - 120% AMI','5 80 - 100% AMI','.','2 30% to 50%','West','-5'
74316,1497,27570,5,2007,'1',1,480000,-6,'1',1,9,3307.03804,5,155974,'1',3018,1,'1',156000,-9,74316,24220,40343,64216,80261.28,28705.18519,47813.92593,76107.85185,95124.48,0.232192545,194.3328091,7,565.7381212,4,260.4776219,3,140.2322741,7,483.8419352,4,222.7709111,3,'1 Adequate','-5','2000-2009','1 Single Family','4 4BR+','1 Owner','4 200%+ Poverty','4 200%+ Poverty','3 GT FMR','3 GT FMR','7 120% AMI +','7 120% AMI +','.','1 Less than 30%','West','-5'
74316,1302,12019,3,2006,'1',1,250000,-6,'1',1,6,2358.674478,1,53987,'1',1060,1,'1',54000,-9,74316,15693,26149,41634,52021.2,23315.31429,38849.94286,61856.22857,77288.64,0.235612277,103.778844,6,449.1804643,4,103.6616744,3,84.69767082,5,544.6516173,4,125.694466,3,'1 Adequate','-5','2000-2009','1 Single Family','3 3BR','1 Owner','4 200%+ Poverty','4 200%+ Poverty','3 GT FMR','3 GT FMR','5 80 - 100% AMI','6 100 - 120% AMI','.','1 Less than 30%','West','-5'
70425,1377,23828,4,1980,'1',1,-6,-6,'2',1,8,1526.808538,4,19948,'1',762,1,'2',20000,0,70425,21138,35213,56350,70425,24520.08,40847.08,65366,81693,0.458391819,28.32516862,1,83.71663589,1,36.21641249,1,37.31041827,2,127.9167366,2,55.33769063,2,'1 Adequate','-5','1980-1989','1 Single Family','4 4BR+','2 Renter','2 100-150% Poverty','1 LTE Poverty','2 50.1 - 100% FMR','1 LTE 50% FMR','2 30 - 50% AMI','1 LTE 30% AMI','0 Not Assisted','2 30% to 50%','West','-5'
60991,988,-6,3,1980,'3',1,70000,3,'-6',1,6,1306.502295,-6,-6,'-6',-6,1,'1',-9,-9,60991,12949,21555,34498,-9,19238.51429,32024.57143,51254.17143,63430.64,-9,-9,-9,-9,-9,-9,-9,34.47619291,2,-9,-9,55.33519688,2,'-5','Central City','1980-1989','1 Single Family','3 3BR','1 Owner','.','.','2 50.1 - 100% FMR','.','2 30 - 50% AMI','.','.','.','-5','-5'
62924,1039,11067,3,1980,'1',1,120000,-6,'1',1,6,2615.674825,1,25200,'1',460,1,'1',0,-9,62924,13364,22257,35599,44046.8,19855.08571,33067.54286,52889.94286,65440.96,0.219047619,57.21187464,3,227.7039848,4,60.63522618,2,63.76557646,4,377.0561614,4,100.4061727,3,'1 Adequate','Central City','1980-1989','1 Single Family','3 3BR','1 Owner','4 200%+ Poverty','4 200%+ Poverty','3 GT FMR','2 50.1 - 100% FMR','4 60 - 80% AMI','3 50 - 60% AMI','.','1 Less than 30%','-5','-5'
61329,1214,24218,4,2005,'1',1,170000,-6,'1',1,7,1957.581628,4,100948,'1',1272,1,'1',94000,-9,61329,18582,30960,49542,61329,21555.12,35913.6,57468.72,71141.64,0.151206562,164.6007598,7,416.8304567,4,207.8830313,3,73.29857398,4,215.3183897,4,107.3842826,3,'1 Adequate','-5','2000-2009','1 Single Family','4 4BR+','1 Owner','4 200%+ Poverty','4 200%+ Poverty','3 GT FMR','3 GT FMR','4 60 - 80% AMI','7 120% AMI +','.','1 Less than 30%','-5','-5'
60991,1136,18070,5,2007,'1',1,340000,-6,'1',1,9,2839.461764,3,190794,'1',2240,1,'1',169200,-9,60991,16646,27713,44340,54891.9,23674.31111,39414.04444,63061.33333,78068.48,0.140884934,347.5813371,7,1055.860542,4,419.881162,3,122.9240644,7,531.0733182,4,211.1904679,3,'1 Adequate','Central City','2000-2009','1 Single Family','4 4BR+','1 Owner','4 200%+ Poverty','4 200%+ Poverty','3 GT FMR','3 GT FMR','7 120% AMI +','7 120% AMI +','.','1 Less than 30%','-5','-5'
77954,1573,-6,4,1980,'3',1,440000,3,'-6',1,9,1215.21532,-6,-6,'-6',-6,1,'1',-9,-9,77954,16434,27384,40379,-9,27233.48571,45379.2,66913.77143,90426.64,-9,-9,-9,-9,-9,-9,-9,119.3515758,6,-9,-9,171.5283213,3,'-5','-5','1980-1989','1 Single Family','4 4BR+','1 Owner','.','.','3 GT FMR','.','6 100 - 120% AMI','.','.','.','-5','-5'
61329,1032,24190,3,1980,'1',1,-6,-6,'2',1,5,2262.288527,4,67361,'1',926,1,'2',50000,0,61329,18582,30960,49542,61329,19325.28,32198.4,51523.68,63782.16,0.164961922,109.8354775,6,278.4663084,4,163.1807171,3,58.07266483,3,153.1211244,3,89.72868217,2,'1 Adequate','-5','1980-1989','1 Single Family','3 3BR','2 Renter','3 150-200% Poverty','4 200%+ Poverty','2 50.1 - 100% FMR','3 GT FMR','3 50 - 60% AMI','6 100 - 120% AMI','0 Not Assisted','1 Less than 30%','-5','-5'
60991,602,12019,1,1985,'1',1,-6,-6,'2',8,3,3757.635316,1,26987,'1',477,3,'2',27000,0,60991,12949,21555,34498,42693.7,13873.92857,23094.64286,36962.14286,45743.25,0.212102123,63.21073133,4,224.5361511,4,112.0722591,3,41.71107213,2,158.748648,3,79.2358804,2,'1 Adequate','Central City','1980-1989','3 5-19 units','1 1BR','2 Renter','3 150-200% Poverty','4 200%+ Poverty','2 50.1 - 100% FMR','3 GT FMR','2 30 - 50% AMI','4 60 - 80% AMI','0 Not Assisted','1 Less than 30%','-5','-5'
60991,988,15470,3,1985,'1',1,160000,-6,'1',1,5,2475.141278,2,101987,'1',1369,1,'1',90000,-9,60991,14801,24628,39421,48792.8,19241.3,32016.4,51247.3,63430.64,0.161079353,209.0205932,7,659.2566257,4,258.0642713,3,99.12939106,5,406.4538279,4,159.1052813,3,'1 Adequate','Central City','1980-1989','1 Single Family','3 3BR','1 Owner','4 200%+ Poverty','4 200%+ Poverty','3 GT FMR','3 GT FMR','5 80 - 100% AMI','7 120% AMI +','.','1 Less than 30%','-5','-5'
56545,1058,15452,3,2005,'1',1,180000,-6,'1',1,6,2601.968819,2,34487,'1',1180,1,'1',32000,-9,56545,14257,23765,37949,45236,18534.1,30894.5,49333.7,58806.8,0.410589498,76.23795207,4,223.1879368,4,81.49102079,2,83.35749394,4,317.2396761,4,115.8314621,3,'1 Adequate','-5','2000-2009','1 Single Family','3 3BR','1 Owner','4 200%+ Poverty','4 200%+ Poverty','3 GT FMR','2 50.1 - 100% FMR','4 60 - 80% AMI','4 60 - 80% AMI','.','2 30% to 50%','West','-5'
72531,729,12019,1,2005,'1',1,-6,-6,'2',24,4,2405.437993,1,42987,'1',816,4,'2',43000,0,72531,15362,25543,40906,50771.7,16459.28571,27367.5,43827.85714,54398.25,0.227789797,84.66724573,5,357.6587071,4,147.4176955,3,60.00193021,3,271.5700141,4,111.9341564,3,'1 Adequate','Central City','2000-2009','4 20-49 units','1 1BR','2 Renter','4 200%+ Poverty','4 200%+ Poverty','3 GT FMR','3 GT FMR','3 50 - 60% AMI','5 80 - 100% AMI','0 Not Assisted','1 Less than 30%','-5','-5'
72531,729,12036,1,1980,'1',1,-6,-6,'2',18,3,2530.891531,1,16800,'1',785,3,'2',0,0,72531,15362,25543,40906,50771.7,16459.28571,27367.5,43827.85714,54398.25,0.560714286,33.08929975,2,139.5812562,2,57.61316872,2,57.72244512,3,260.8840146,4,107.6817558,3,'1 Adequate','Central City','1980-1989','3 5-19 units','1 1BR','2 Renter','4 200%+ Poverty','2 100-150% Poverty','3 GT FMR','2 50.1 - 100% FMR','3 50 - 60% AMI','2 30 - 50% AMI','0 Not Assisted','3 50% or More','-5','-5'
61329,1187,31941,5,2004,'1',1,180000,-6,'1',1,9,2517.14258,6,44948,'1',452,1,'1',45000,-9,61329,21579,35947,57488,71141.64,23811.31035,39665.65517,63435.03448,78501.12,0.120672777,63.18100061,4,140.7219561,2,94.66722831,2,70.04130397,4,172.1399082,3,115.8028814,3,'1 Adequate','-5','2000-2009','1 Single Family','4 4BR+','1 Owner','3 150-200% Poverty','2 100-150% Poverty','3 GT FMR','2 50.1 - 100% FMR','4 60 - 80% AMI','4 60 - 80% AMI','.','1 Less than 30%','-5','-5'
61329,773,11096,2,2007,'1',1,170000,-6,'1',1,4,2026.916046,1,314235,'1',788,1,'1',0,-9,61329,13029,21693,34702,42930.3,16751.57143,27891,44616.85714,55196.1,0.030092129,731.9655348,7,2831.966474,4,1016.283959,3,90.69929632,5,451.1758678,4,161.909684,3,'1 Adequate','-5','2000-2009','1 Single Family','2 2BR','1 Owner','4 200%+ Poverty','4 200%+ Poverty','3 GT FMR','3 GT FMR','5 80 - 100% AMI','7 120% AMI +','.','1 Less than 30%','-5','-5'
72531,729,15537,1,1980,'1',1,-6,-6,'2',8,4,2310.995599,2,101974,'1',769,3,'2',102000,0,72531,17521,29198,46719,58024.8,16425.9375,27373.125,43799.0625,54398.25,0.090493655,175.7420965,7,656.3300509,4,349.7050755,3,56.54593668,3,197.9790178,3,105.4869685,3,'1 Adequate','Central City','1980-1989','3 5-19 units','1 1BR','2 Renter','3 150-200% Poverty','4 200%+ Poverty','3 GT FMR','3 GT FMR','3 50 - 60% AMI','7 120% AMI +','0 Not Assisted','1 Less than 30%','-5','-5'
72531,1285,-6,5,2009,'3',1,60000,3,'-6',1,11,1622.028934,-6,-6,'-6',-6,1,'1',-9,-9,72531,15362,25543,40906,-9,28090.51429,46707.2,74799.54286,92839.68,-9,-9,-9,-9,-9,-9,-9,15.01987371,1,-9,-9,27.12918812,1,'-5','Central City','2000-2009','1 Single Family','4 4BR+','1 Owner','.','.','1 LTE 50% FMR','.','1 LTE 30% AMI','.','.','.','-5','-5'
62066,1058,23543,3,2007,'1',1,100000,-6,'1',1,6,1885.2975,4,37987,'1',639,1,'1',38000,-9,62066,18781,31290,50072,62066,19532.24,32541.6,52074.88,64548.64,0.201858531,61.20420198,4,161.3515695,3,89.76134216,2,54.96734115,3,150.7058198,3,83.83901501,2,'1 Adequate','-5','2000-2009','1 Single Family','3 3BR','1 Owner','3 150-200% Poverty','3 150-200% Poverty','2 50.1 - 100% FMR','2 50.1 - 100% FMR','3 50 - 60% AMI','4 60 - 80% AMI','.','1 Less than 30%','-5','-5'
72531,1285,23500,5,2008,'1',1,380000,-6,'1',1,8,1983.373313,4,172487,'1',1724,1,'1',165000,-9,72531,21889,36488,58377,72531,28017.92,46704.64,74722.56,92839.68,0.119939474,237.8114186,7,733.987234,4,335.577821,3,109.6096163,6,433.0264555,4,197.9790215,3,'1 Adequate','Central City','2000-2009','1 Single Family','4 4BR+','1 Owner','4 200%+ Poverty','4 200%+ Poverty','3 GT FMR','3 GT FMR','6 100 - 120% AMI','7 120% AMI +','.','1 Less than 30%','-5','-5'
62066,1058,-6,3,1985,'3',1,-6,1,'-6',8,6,1574.973368,-6,-6,'-6',-6,3,'2',-9,-9,62066,13170,21924,35073,-9,19566.85714,32572.8,52108.45714,64548.64,-9,-9,-9,-9,-9,-9,-9,70.64440087,4,-9,-9,107.7504726,3,'-5','-5','1980-1989','3 5-19 units','3 3BR','2 Renter','.','.','3 GT FMR','.','4 60 - 80% AMI','.','.','.','-5','-5'
72531,864,18670,2,1985,'1',1,-6,-6,'2',4,4,2293.03823,3,16987,'1',799,2,'2',17000,0,72531,19730,32852,52564,65277.9,19730,32852,52564,65277.9,0.564431624,26.02258958,1,90.9855383,1,49.15219907,1,48.95990833,2,171.1837172,3,92.47685185,2,'1 Adequate','Central City','1980-1989','2 2-4 units','2 2BR','2 Renter','3 150-200% Poverty','1 LTE Poverty','2 50.1 - 100% FMR','1 LTE 50% FMR','2 30 - 50% AMI','1 LTE 30% AMI','0 Not Assisted','3 50% or More','-5','-5'
103900,1843,13948,3,1985,'1',1,300000,-6,'1',1,6,869.5240066,2,149415,'1',1964,1,'1',149400,-9,103900,24950,41600,53000,83120,32435,54080,68900,108056,0.157735167,179.7581809,7,1071.22885,4,202.6790559,3,84.62773635,5,655.6161944,4,124.0441492,3,'1 Adequate','-5','1980-1989','1 Single Family','3 3BR','1 Owner','4 200%+ Poverty','4 200%+ Poverty','3 GT FMR','3 GT FMR','5 80 - 100% AMI','7 120% AMI +','.','1 Less than 30%','-5','-5'
66500,934,23401,3,2003,'1',1,-6,-6,'2',1,6,1883.057229,4,19974,'1',815,1,'2',20000,0,66500,20067,33428,53494,66500,20869.68,34765.12,55633.76,69160,0.489636528,30.03609023,1,85.3553267,1,53.46359743,2,47.13707345,2,139.3102859,2,87.25910064,2,'1 Adequate','Central City','2000-2009','1 Single Family','3 3BR','2 Renter','2 100-150% Poverty','1 LTE Poverty','2 50.1 - 100% FMR','2 50.1 - 100% FMR','2 30 - 50% AMI','1 LTE 30% AMI','0 Not Assisted','2 30% to 50%','-5','-5'
66500,934,23401,3,2005,'1',1,350000,-6,'1',1,6,2692.223428,4,63961,'1',1532,1,'1',64000,-9,66500,20067,33428,53494,66500,20869.68,34765.12,55633.76,69160,0.28742515,96.18195489,5,273.3259262,4,171.2018201,3,130.0785845,7,384.4380541,4,240.7985788,3,'1 Adequate','Central City','2000-2009','1 Single Family','3 3BR','1 Owner','4 200%+ Poverty','4 200%+ Poverty','3 GT FMR','3 GT FMR','7 120% AMI +','5 80 - 100% AMI','.','1 Less than 30%','-5','-5'
66500,669,18595,2,2008,'1',1,1,-6,'1',1,5,2578.909079,3,103174,'1',173,1,'1',103200,-9,66500,18089,30112,48171,59850,18089,30112,48171,59850,0.020121348,172.3876358,7,554.8480774,4,385.5530643,3,14.83748105,1,47.75602262,1,33.18472499,1,'1 Adequate','Central City','2000-2009','1 Single Family','2 2BR','1 Owner','1 LTE Poverty','4 200%+ Poverty','1 LTE 50% FMR','3 GT FMR','1 LTE 30% AMI','7 120% AMI +','.','1 Less than 30%','-5','-5'
